"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"upperAsymptote_Intercept43",0.970804597011451,0.00056598207496893,0.969738885081213,0.971927623619698,"UD_Spanish-AnCora"
"lowerAsymptote_Intercept43",0.117010180813714,0.00610311589734711,0.104873261017395,0.129028068476761,"UD_Spanish-AnCora"
"growthRate_Intercept43",0.00235279299027791,7.38563073670992e-05,0.00221388853813541,0.00250336499970125,"UD_Spanish-AnCora"
"delta_Intercept43",0.336571934492982,0.00425456662363381,0.328097467102307,0.344873233194009,"UD_Spanish-AnCora"
"upperAsymptote_Intercept44",0.788989559232664,0.0035391913998874,0.782503188166356,0.796573863340299,"UD_Maghrebi_Arabic_French-Arabizi"
"lowerAsymptote_Intercept44",0.168758736404742,0.00969415475045422,0.150142018473073,0.187774863209279,"UD_Maghrebi_Arabic_French-Arabizi"
"growthRate_Intercept44",0.00134123741213163,5.81628959271968e-05,0.00123087179574795,0.00145894224300269,"UD_Maghrebi_Arabic_French-Arabizi"
"delta_Intercept44",0.55583972887428,0.0219584895763766,0.513243420753613,0.5995511743879,"UD_Maghrebi_Arabic_French-Arabizi"
"upperAsymptote_Intercept45",0.941536327303459,0.00104690234178654,0.939526231587181,0.943606507300251,"UD_Greek-GUD"
"lowerAsymptote_Intercept45",0.321666320181464,0.00261682681293093,0.316473760797399,0.32669801173676,"UD_Greek-GUD"
"growthRate_Intercept45",0.00334821747044407,6.59149563752194e-05,0.00322171799270956,0.00347971106813148,"UD_Greek-GUD"
"delta_Intercept45",0.409808128024127,0.00615519286667436,0.397791994371333,0.421868794535689,"UD_Greek-GUD"
"upperAsymptote_Intercept46",0.899470349139473,0.000777237259955443,0.897966861260276,0.90100022570052,"UD_Korean-Kaist"
"lowerAsymptote_Intercept46",0.298767703274408,0.00353110187884652,0.291772027313922,0.305512419258607,"UD_Korean-Kaist"
"growthRate_Intercept46",0.000203066212979555,2.90672549864551e-06,0.00019741593112594,0.000208827410090658,"UD_Korean-Kaist"
"delta_Intercept46",0.456500624438496,0.00379804342156319,0.448893816520503,0.463768004385602,"UD_Korean-Kaist"
"upperAsymptote_Intercept47",0.938469103989373,0.00430964862530709,0.927695781364612,0.94296342255133,"UD_Portuguese-Bosque"
"lowerAsymptote_Intercept47",0.0195235685901581,0.0280072823618696,0.000273831235459825,0.103405532078604,"UD_Portuguese-Bosque"
"growthRate_Intercept47",0.606007008964672,1.78056162055626,0.000916825898819233,6.01998994043612,"UD_Portuguese-Bosque"
"delta_Intercept47",0.919722555018825,1.32950390900834,0.119084169164542,6.32369224864927,"UD_Portuguese-Bosque"
"upperAsymptote_Intercept48",0.943068588694255,0.000701074663545853,0.941709588756918,0.944448854965227,"UD_Belarusian-HSE"
"lowerAsymptote_Intercept48",0.115044899109456,0.00944279935657256,0.0961424922680808,0.133657164646874,"UD_Belarusian-HSE"
"growthRate_Intercept48",0.000871417289048435,2.60961496068964e-05,0.000821603834746106,0.00092518645248279,"UD_Belarusian-HSE"
"delta_Intercept48",0.492424644491151,0.00859450645255646,0.475844107890013,0.509438060945865,"UD_Belarusian-HSE"
"upperAsymptote_Intercept49",0.972670351647068,0.000299468084811454,0.972079997324102,0.973255294072704,"UD_Turkish-Atis"
