"","Select_size.x","Select_size.predicted","Select_size.std.error","Select_size.conf.low","Select_size.conf.high","Select_size.group","upperAsymptote","lowerAsymptote","growthRate","delta","Growth_Rate","Treebank"
"1",1000,0.817050320801624,0.00105981417973084,0.8149641330156,0.819127770661498,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,7.70398446494047e-05,"UD_Afrikaans-AfriBooms"
"2",2000,0.866025313589116,0.000785500730185983,0.86450666526244,0.867548040263805,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,3.16461078959967e-05,"UD_Afrikaans-AfriBooms"
"3",3000,0.889670625048707,0.000723105625356782,0.888295786083394,0.891075731257654,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.77130623524895e-05,"UD_Afrikaans-AfriBooms"
"4",4000,0.903851467764732,0.000671172698896758,0.902581232319745,0.905169695960554,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.13679175596063e-05,"UD_Afrikaans-AfriBooms"
"5",5000,0.913328484853276,0.000617500944667659,0.912160905870139,0.914548509003134,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,7.89671980586801e-06,"UD_Afrikaans-AfriBooms"
"6",6000,0.920090470182989,0.000562460263495096,0.919019025420751,0.921196780998059,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,5.77987724912884e-06,"UD_Afrikaans-AfriBooms"
"7",7000,0.925135418654986,0.000513907672426295,0.924155600287234,0.926143525987583,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,4.39174924780394e-06,"UD_Afrikaans-AfriBooms"
"8",8000,0.929023600614525,0.000468646859757027,0.928124620252535,0.929945019156941,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,3.43262653592776e-06,"UD_Afrikaans-AfriBooms"
"9",9000,0.932093703082142,0.000428433902920747,0.931258973404369,0.932940328308543,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,2.74315366840997e-06,"UD_Afrikaans-AfriBooms"
"10",10000,0.934570245140014,0.000400190208578545,0.933792608421256,0.935362361110064,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,2.2318494771972e-06,"UD_Afrikaans-AfriBooms"
"11",11000,0.936600728913085,0.000374441318104424,0.935866184265088,0.937348961568953,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.84300761272049e-06,"UD_Afrikaans-AfriBooms"
"12",12000,0.938285949849255,0.000360960485370419,0.937573762635865,0.939005431767853,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.54107847538324e-06,"UD_Afrikaans-AfriBooms"
"13",13000,0.939706362026705,0.000349040492086045,0.939016405884296,0.940406951145495,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.30249178580444e-06,"UD_Afrikaans-AfriBooms"
"14",14000,0.940909918183227,0.000346866482125187,0.940228536962397,0.941602443897428,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,1.11111480578088e-06,"UD_Afrikaans-AfriBooms"
"15",15000,0.941940368525535,0.000346718808027939,0.941259441588216,0.942628204724373,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,9.55604286878534e-07,"UD_Afrikaans-AfriBooms"
"16",16000,0.942830715450322,0.000351080190858113,0.942135382794462,0.943529021530856,"Select_size",0.951050473341631,0.324312922363949,0.00320226273264212,0.372734197906658,8.27798352485313e-07,"UD_Afrikaans-AfriBooms"
