"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"lowerAsymptote_Intercept110",0.420566878127758,0.00354810370299789,0.413669152661289,0.427767141640372,"UD_Italian-TWITTIRO"
"growthRate_Intercept110",0.00055822960220861,2.52402777116678e-05,0.000508564256679672,0.000606962616036239,"UD_Italian-TWITTIRO"
"delta_Intercept110",0.381416949994343,0.00838971504998695,0.365165382137247,0.397883695577935,"UD_Italian-TWITTIRO"
"upperAsymptote_Intercept111",0.782770232659403,0.039715906733645,0.716072422669659,0.830681991421842,"UD_Tamil-TTB"
"lowerAsymptote_Intercept111",0.428322109858687,0.0540515047061484,0.3054756629331,0.549264233638273,"UD_Tamil-TTB"
"growthRate_Intercept111",2.49909723358174,3.23058457326929,0.00101946554803035,9.49165228860141,"UD_Tamil-TTB"
"delta_Intercept111",2.78655328328317,2.8830567902011,0.284722962821689,9.39095979717248,"UD_Tamil-TTB"
"upperAsymptote_Intercept112",0.965335318189511,0.000337713322306231,0.964689828287966,0.966001498329537,"UD_Portuguese-PetroGold"
"lowerAsymptote_Intercept112",0.551510716928404,0.00248575609880273,0.546640875172795,0.556442732206108,"UD_Portuguese-PetroGold"
"growthRate_Intercept112",0.000849606223965222,1.66757823579909e-05,0.000816776671148916,0.000881559075311435,"UD_Portuguese-PetroGold"
"delta_Intercept112",0.361081972035269,0.00321108727458463,0.354802345998716,0.367440349893157,"UD_Portuguese-PetroGold"
