"","Select_size.x","Select_size.predicted","Select_size.std.error","Select_size.conf.low","Select_size.conf.high","Select_size.group","upperAsymptote","lowerAsymptote","growthRate","delta","Growth_Rate","Treebank"
"1",1000,0.79094747126624,0.00227966151701051,0.786526278368016,0.795450844449068,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,7.62285893888445e-05,"UD_Afrikaans-AfriBooms"
"2",2000,0.84122693186652,0.00163818055092904,0.838028762847252,0.844439085704747,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.38526107691884e-05,"UD_Afrikaans-AfriBooms"
"3",3000,0.867160117350396,0.00147615271493827,0.864272004158553,0.870133761014844,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.99680465804539e-05,"UD_Afrikaans-AfriBooms"
"4",4000,0.883475349163521,0.00140352528485246,0.880711102776598,0.886316521511318,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.33465477336328e-05,"UD_Afrikaans-AfriBooms"
"5",5000,0.894786292661833,0.00132663114236472,0.89218241020278,0.89751618323326,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,9.58831201391522e-06,"UD_Afrikaans-AfriBooms"
"6",6000,0.903113919319015,0.00123688919761384,0.900680241426016,0.905654562604857,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,7.22405288871224e-06,"UD_Afrikaans-AfriBooms"
"7",7000,0.909503375165536,0.00114690349935092,0.907208972685816,0.911844830200099,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,5.63104308493775e-06,"UD_Afrikaans-AfriBooms"
"8",8000,0.914551783423347,0.0010608451844673,0.912427729559007,0.916675896471846,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,4.50339837771577e-06,"UD_Afrikaans-AfriBooms"
"9",9000,0.918620076714068,0.000980449797884501,0.916666353290666,0.920556104566517,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.67481409084636e-06,"UD_Afrikaans-AfriBooms"
"10",10000,0.921961386430956,0.00090922000726916,0.920171647615788,0.92374595743463,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.04787162782279e-06,"UD_Afrikaans-AfriBooms"
"11",11000,0.924748532282158,0.00085455679607894,0.923079369666483,0.926399104267914,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,2.56213851393124e-06,"UD_Afrikaans-AfriBooms"
"12",12000,0.927114243619238,0.000814851988634165,0.925545118032049,0.928689609252961,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,2.1783799876995e-06,"UD_Afrikaans-AfriBooms"
"13",13000,0.929135578053855,0.00078564478971205,0.927636481825367,0.930661271592527,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.87016082764318e-06,"UD_Afrikaans-AfriBooms"
"14",14000,0.930882946845827,0.000759562953075975,0.929406600131577,0.93235042666202,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.61911175327353e-06,"UD_Afrikaans-AfriBooms"
"15",15000,0.932393112129023,0.000753063118125779,0.930924733783603,0.933846804122442,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.4121310629911e-06,"UD_Afrikaans-AfriBooms"
"16",16000,0.933716839166153,0.000752241185167877,0.932250708667152,0.935183215311022,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.23966285304615e-06,"UD_Afrikaans-AfriBooms"
"17",17000,0.934887084209534,0.000758427328951232,0.933380839133652,0.936365450946663,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,1.09460095926281e-06,"UD_Afrikaans-AfriBooms"
"18",18000,0.935924105059718,0.000784237450087077,0.934375797529592,0.937441750685135,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,9.71570441401321e-07,"UD_Afrikaans-AfriBooms"
"19",19000,0.936849837491123,0.000815409931469788,0.9352463424007,0.938426045852925,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,8.66444356820314e-07,"UD_Afrikaans-AfriBooms"
"20",20000,0.9376695964813,0.000844390640413983,0.936016983896485,0.939313641298187,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,7.76011374969076e-07,"UD_Afrikaans-AfriBooms"
"21",21000,0.938402865012208,0.000882900677158174,0.936705591281302,0.940110383279724,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,6.97742535631259e-07,"UD_Afrikaans-AfriBooms"
"22",22000,0.939068378749614,0.000913420981312838,0.937306015552126,0.940841906546423,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,6.29624632195848e-07,"UD_Afrikaans-AfriBooms"
"23",23000,0.93967046846934,0.000947252702172846,0.937850009138364,0.941498567517221,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,5.70039264210756e-07,"UD_Afrikaans-AfriBooms"
"24",24000,0.940213693274452,0.000975746087557224,0.938339245585694,0.942115306519124,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,5.17673758932676e-07,"UD_Afrikaans-AfriBooms"
"25",25000,0.94070322402068,0.00100965212481352,0.938787491120155,0.942683969955452,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,4.71454694326841e-07,"UD_Afrikaans-AfriBooms"
"26",26000,0.941158477558701,0.00104523413576929,0.939170997049569,0.943202596198016,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,4.30497688599791e-07,"UD_Afrikaans-AfriBooms"
"27",27000,0.941575695388532,0.00108114323274378,0.939505340481191,0.943690353746801,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.94069055462972e-07,"UD_Afrikaans-AfriBooms"
"28",28000,0.941951810618006,0.00111432760227148,0.939821381826021,0.944118162669524,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.61556222414997e-07,"UD_Afrikaans-AfriBooms"
"29",29000,0.942298313529768,0.00114191657284388,0.940123877147934,0.944532610907689,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.32444694624255e-07,"UD_Afrikaans-AfriBooms"
"30",30000,0.942620124317997,0.0011712791973513,0.940387301099269,0.944921108249668,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,3.06299959725665e-07,"UD_Afrikaans-AfriBooms"
"31",31000,0.942914943317299,0.00120120887492437,0.940633151929568,0.945278291935266,"Select_size",0.947795120271086,0.397052158416873,0.00180644156031527,0.387042738903296,2.82753158738877e-07,"UD_Afrikaans-AfriBooms"
"32",5000,0.838392100024984,0.000486875498570669,0.837419979777766,0.839325533105165,"Select_size",0.939386459171137,0.455939373211918,0.000812632200270878,0.319960809917255,1.01193010236306e-05,"UD_Hebrew-HTB"
