"","Estimate","Est.Error","Q2.5","Q97.5","Treebank"
"upperAsymptote_Intercept60",0.961344991206603,0.000448803744268198,0.960485823962811,0.962258538449372,"UD_Croatian-SET"
"lowerAsymptote_Intercept60",0.706850979730173,0.00216061564567985,0.702665438429621,0.711163643804034,"UD_Croatian-SET"
"growthRate_Intercept60",0.000181106948705425,3.44137372749543e-06,0.000174488215560142,0.000187950701052223,"UD_Croatian-SET"
"delta_Intercept60",0.538701169611997,0.00695490676245028,0.525434492311479,0.552400569712204,"UD_Croatian-SET"
"upperAsymptote_Intercept61",0.939336022092074,0.000568984666640548,0.938258389088645,0.940485050519283,"UD_Turkish-Penn"
"lowerAsymptote_Intercept61",0.690217943125978,0.00216374617797447,0.685983064635926,0.694523934195992,"UD_Turkish-Penn"
"growthRate_Intercept61",0.000151742856788131,2.96513229807506e-06,0.00014586704128791,0.000157641348784059,"UD_Turkish-Penn"
"delta_Intercept61",0.533155251480647,0.00738825137297938,0.518768948186101,0.547691202703899,"UD_Turkish-Penn"
"upperAsymptote_Intercept62",0.918441043565083,0.00232170820372769,0.913954044780343,0.923300250115465,"UD_Hungarian-Szeged"
"lowerAsymptote_Intercept62",0.685208286639042,0.00130186593172276,0.68266496966724,0.687758361857104,"UD_Hungarian-Szeged"
"growthRate_Intercept62",0.00017086202250354,4.4747970923807e-06,0.000161863960301113,0.000179811439233313,"UD_Hungarian-Szeged"
"delta_Intercept62",0.724731128488025,0.0131218133180055,0.699320594439127,0.751412802513307,"UD_Hungarian-Szeged"
"upperAsymptote_Intercept63",0.936036816681174,0.0003506082125641,0.935374997075091,0.936763699071349,"UD_Urdu-UDTB"
"lowerAsymptote_Intercept63",0.730389956881131,0.0012151390887216,0.728023287550458,0.732769094719125,"UD_Urdu-UDTB"
"growthRate_Intercept63",0.000160232623461641,2.24555599928378e-06,0.000155764196762931,0.000164573272959007,"UD_Urdu-UDTB"
"delta_Intercept63",0.499575080447132,0.00490870781422759,0.489664163470252,0.508975102350652,"UD_Urdu-UDTB"
"upperAsymptote_Intercept64",0.961341331291258,0.00115959851126883,0.959197308867862,0.963669701684827,"UD_Swedish-Talbanken"
"lowerAsymptote_Intercept64",0.735942786036057,0.00246646525924566,0.731058801014616,0.74075341619144,"UD_Swedish-Talbanken"
"growthRate_Intercept64",0.000182750303092608,5.43938369190122e-06,0.000172565521976835,0.000193748072454029,"UD_Swedish-Talbanken"
"delta_Intercept64",0.500078727223071,0.0104565687864856,0.479958189192039,0.520101855828736,"UD_Swedish-Talbanken"
"upperAsymptote_Intercept65",0.941709994476081,0.000355991594850412,0.941035272789068,0.942419571652843,"UD_Dutch-LassySmall"
"lowerAsymptote_Intercept65",0.717585059190218,0.00169630696552523,0.714240427228707,0.720958215442484,"UD_Dutch-LassySmall"
